,state,status,latlon,lat,lon
190,AR,4216,"(36.3728538, -94.2088172)",36.3728538,-94.2088172
188,AR,5,"(36.3456186, -94.2670404)",36.3456186,-94.2670404
187,AR,1,"(34.5556489, -92.5212702)",34.5556489,-92.5212702
186,AR,41,"(35.769799, -91.6409722)",35.769799,-91.6409722
184,AR,5,"(35.2823079, -91.3654063)",35.2823079,-91.3654063
183,AR,5,"(35.9202845, -89.7982424)",35.9202845,-89.7982424
182,AR,36,"(34.1209292, -93.053784)",34.1209292,-93.053784
181,AR,1,"(34.2648201, -93.4610173)",34.2648201,-93.4610173
233,AR,1,"(35.270085, -91.6398575)",35.270085,-91.6398575
204,AR,1,"(33.52539, -91.4359538)",33.52539,-91.4359538
205,AR,1,"(37.9315016, -81.1264898)",37.9315016,-81.1264898
192,AR,1,"(36.364792, -93.5679667)",36.364792,-93.5679667
207,AR,4,"(-26.404486, -54.6258412)",-26.404486,-54.6258412
231,AR,90,"(35.8428646, -90.7034522)",35.8428646,-90.7034522
206,AR,23,"(33.20763, -92.6662674)",33.20763,-92.6662674
230,AR,1,"(34.8662005, -92.1101458)",34.8662005,-92.1101458
229,AR,1,"(-33.8012821, -61.3363467)",-33.8012821,-61.3363467
228,AR,1,"(34.665341, -93.0012525405306)",34.665341,-93.0012525405
227,AR,40,"(34.4310545, -93.0427203041209)",34.4310545,-93.0427203041
226,AR,3,"(33.9384482, -94.3571494)",33.9384482,-94.3571494
223,AR,1,"(35.4914677, -92.03126)",35.4914677,-92.03126
222,AR,1,"(35.0228761, -94.3813277)",35.0228761,-94.3813277
221,AR,25,"(36.2297936, -93.1076765)",36.2297936,-93.1076765
220,AR,2,"(35.2156489, -94.2557663)",35.2156489,-94.2557663
219,AR,5,"(35.2339712, -92.387655)",35.2339712,-92.387655
225,AR,3,"(33.6670616, -93.5915665)",33.6670616,-93.5915665
218,AR,2,"(36.4220207, -94.4535484)",36.4220207,-94.4535484
217,AR,1,"(36.2675793, -94.4846602)",36.2675793,-94.4846602
216,AR,1,"(36.2831238, -92.4940505)",36.2831238,-92.4940505
215,AR,29,"(35.3872218, -94.4248983)",35.3872218,-94.4248983
214,AR,138,"(35.3872218, -94.4248983)",35.3872218,-94.4248983
