,state,status,latlon,lat,lon
3703,MD,23,"(39.1228336, -76.7964152)",39.1228336,-76.7964152
3704,MD,4,"(39.1278864, -76.6869128)",39.1278864,-76.6869128
3705,MD,4,"(39.070388, -76.5452409)",39.070388,-76.5452409
3719,MD,1,"(34.791269, -82.282715)",34.791269,-82.282715
3718,MD,3,"(38.980596, -76.3144415)",38.980596,-76.3144415
3717,MD,7,"(39.4102772, -76.7128314)",39.4102772,-76.7128314
3716,MD,7,"(38.1864654, -76.4301316916929)",38.1864654,-76.4301316917
3714,MD,3,"(38.4742898, -76.5063419)",38.4742898,-76.5063419
3687,MD,30,"(38.2028428, -75.6920008)",38.2028428,-75.6920008
3713,MD,5,"(39.54015935, -76.6446562251919)",39.54015935,-76.6446562252
3711,MD,1,"(38.970508, -76.740931)",38.970508,-76.740931
3708,MD,4,"(38.821017, -76.910115)",38.821017,-76.910115
3707,MD,946,"(38.9959081, -77.0288918)",38.9959081,-77.0288918
3706,MD,1,"(48.075615, 16.27822)",48.075615,16.27822
3712,MD,75,"(39.5303908, -76.6458407)",39.5303908,-76.6458407
3618,MD,1,"(38.5970057, -76.9145074)",38.5970057,-76.9145074
3736,MD,18,"(38.6263882, -76.9106581)",38.6263882,-76.9106581
3616,MD,2,"(38.4201174, -75.6877068)",38.4201174,-75.6877068
3517,MD,5,"(39.1807943, -77.0591072)",39.1807943,-77.0591072
3518,MD,4,"(39.4215531, -76.6702384)",39.4215531,-76.6702384
3519,MD,2,"(39.2340834, -76.6033433)",39.2340834,-76.6033433
3520,MD,2,"(39.3329309, -77.4324408)",39.3329309,-77.4324408
3521,MD,21,"(39.1112193, -76.9324752)",39.1112193,-76.9324752
3522,MD,7,"(38.975388, -77.1580349)",38.975388,-77.1580349
3617,MD,26,"(38.3459143, -76.5717292)",38.3459143,-76.5717292
3524,MD,85,"(39.0576091, -76.9358082)",39.0576091,-76.9358082
3525,MD,37,"(38.5714624, -76.0763177)",38.5714624,-76.0763177
3527,MD,18,"(38.8853963, -76.9159441)",38.8853963,-76.9159441
3528,MD,1,"(39.1667302, -77.2738196)",39.1667302,-77.2738196
3529,MD,937,"(39.2720509, -76.7319161)",39.2720509,-76.7319161
3530,MD,1,"(39.2720509, -76.7319161)",39.2720509,-76.7319161
3516,MD,4,"(38.9431727, -76.9566429)",38.9431727,-76.9566429
3533,MD,1,"(39.6592786, -75.9910572)",39.6592786,-75.9910572
3535,MD,8,"(39.5271001, -75.8124776)",39.5271001,-75.8124776
3536,MD,3,"(39.5271001, -75.8124776)",39.5271001,-75.8124776
3537,MD,21,"(39.2089986, -76.0666126)",39.2089986,-76.0666126
3538,MD,53,"(38.928167, -76.915807)",38.928167,-76.915807
3539,MD,1512,"(38.9932072, -77.0743833)",38.9932072,-77.0743833
3540,MD,1,"(38.9932072, -77.0743833)",38.9932072,-77.0743833
3541,MD,64,"(39.2387164, -77.2794288)",39.2387164,-77.2794288
3542,MD,52,"(39.2065447, -76.9429182)",39.2065447,-76.9429182
3543,MD,1,"(39.6562064, -77.9316649)",39.6562064,-77.9316649
3544,MD,11,"(38.7651145, -76.8983059)",38.7651145,-76.8983059
3545,MD,54,"(39.4845658, -76.6502845)",39.4845658,-76.6502845
3546,MD,1122,"(38.980666, -76.9369189)",38.980666,-76.9369189
3532,MD,3,"(39.0420588, -76.0674344)",39.0420588,-76.0674344
3515,MD,70,"(39.1840886, -77.3122325)",39.1840886,-77.3122325
3514,MD,714,"(38.9429659, -76.731234)",38.9429659,-76.731234
3513,MD,1,"(39.2762767, -76.5601488042805)",39.2762767,-76.5601488043
3484,MD,11,"(39.5095556, -76.1641197)",39.5095556,-76.1641197
3485,MD,13,"(39.4623305, -76.2791236)",39.4623305,-76.2791236
3486,MD,1,"(39.62520075, -79.3196695738171)",39.62520075,-79.3196695738
3487,MD,9,"(38.6676168, -77.0283092)",38.6676168,-77.0283092
3488,MD,1,"(39.3109134, -77.4752325)",39.3109134,-77.4752325
3489,MD,21,"(39.0030666, -76.9721023)",39.0030666,-76.9721023
3490,MD,2,"(39.3234378, -76.9747004)",39.3234378,-76.9747004
3491,MD,752,"(38.9786401, -76.492786)",38.9786401,-76.492786
3492,MD,19,"(39.11899645, -76.7963417455609)",39.11899645,-76.7963417456
3493,MD,7,"(39.149274, -77.0124774)",39.149274,-77.0124774
3494,MD,1,"(39.075997, -76.852174)",39.075997,-76.852174
3495,MD,7470,"(39.2908816, -76.610759)",39.2908816,-76.610759
3496,MD,2,"(39.2559916, -76.634341)",39.2559916,-76.634341
3498,MD,37,"(39.5355063, -76.3490396)",39.5355063,-76.3490396
3512,MD,10,"(38.9392997, -76.9337983)",38.9392997,-76.9337983
3511,MD,2,"(38.8753924, -76.5080138)",38.8753924,-76.5080138
3509,MD,3,"(38.9848265, -77.0946459)",38.9848265,-77.0946459
3508,MD,3589,"(38.9848265, -77.0946459)",38.9848265,-77.0946459
3547,MD,4793,"(39.2156213, -76.8582049)",39.2156213,-76.8582049
3504,MD,1,"(38.3226154, -75.2176892)",38.3226154,-75.2176892
3503,MD,197,"(39.0299081, -76.9149547)",39.0299081,-76.9149547
3502,MD,1,"(38.3703955, -75.5718683)",38.3703955,-75.5718683
3500,MD,34,"(39.4686229, -76.2349083)",39.4686229,-76.2349083
3499,MD,1,"(38.9661852, -76.7468143)",38.9661852,-76.7468143
3505,MD,1,"(38.9939991, -76.9105292)",38.9939991,-76.9105292
3548,MD,6,"(39.0017772, -76.6874671)",39.0017772,-76.6874671
3523,MD,3,"(38.3004029, -76.5074542)",38.3004029,-76.5074542
3550,MD,81,"(39.6528509, -78.7624714)",39.6528509,-78.7624714
3586,MD,29,"(39.6581425, -78.928357)",39.6581425,-78.928357
3587,MD,112,"(39.1509408, -76.9230307)",39.1509408,-76.9230307
3589,MD,1,"(39.3614927, -76.9930347)",39.3614927,-76.9930347
3590,MD,4,"(39.3614927, -76.9930347)",39.3614927,-76.9930347
3591,MD,1,"(39.1434406, -77.2013705)",39.1434406,-77.2013705
3592,MD,2252,"(39.1434406, -77.2013705)",39.1434406,-77.2013705
3594,MD,16,"(39.067054, -76.6652449)",39.067054,-76.6652449
3596,MD,974,"(39.1731621, -77.2716502)",39.1731621,-77.2716502
3585,MD,4,"(39.343, -77.51)",39.343,-77.51
3600,MD,83,"(39.1626298, -76.6250756)",39.1626298,-76.6250756
3602,MD,1,"(39.2644382, -76.9899134)",39.2644382,-76.9899134
3603,MD,10,"(38.9876104, -76.8205265)",38.9876104,-76.8205265
3604,MD,3,"(39.2875302, -77.0276051)",39.2875302,-77.0276051
3605,MD,1,"(39.4762132, -76.8161977)",39.4762132,-76.8161977
3606,MD,940,"(39.0045544, -76.8755282)",39.0045544,-76.8755282
3607,MD,1,"(38.99426915, -76.8661838992507)",38.99426915,-76.8661838993
3549,MD,3,"(39.0284438, -76.6013536)",39.0284438,-76.6013536
3609,MD,71,"(39.6419219, -77.7202641)",39.6419219,-77.7202641
3610,MD,15,"(39.2384861, -76.6912075)",39.2384861,-76.6912075
3611,MD,15,"(39.6048252, -76.8499775)",39.6048252,-76.8499775
3612,MD,1,"(39.6989809, -78.1797293)",39.6989809,-78.1797293
3613,MD,2,"(39.3914968, -77.4456998126632)",39.3914968,-77.4456998127
3614,MD,1173,"(39.1928853, -76.7241371)",39.1928853,-76.7241371
3615,MD,3,"(39.5489964, -76.0914718)",39.5489964,-76.0914718
3601,MD,3,"(38.9692998, -77.1426965)",38.9692998,-77.1426965
3608,MD,34,"(39.3269665, -76.7182361842866)",39.3269665,-76.7182361843
3582,MD,514,"(39.4142186, -77.4109269)",39.4142186,-77.4109269
3564,MD,6,"(38.2806755, -75.6510368)",38.2806755,-75.6510368
3563,MD,74,"(38.7744952, -76.0763065)",38.7744952,-76.0763065
3561,MD,11,"(38.5537034, -76.9779671)",38.5537034,-76.9779671
3560,MD,2,"(38.8576128, -76.8894171)",38.8576128,-76.8894171
3559,MD,12,"(39.11733, -77.1610916)",39.11733,-77.1610916
3565,MD,4,"(38.9346773, -76.5532021)",38.9346773,-76.5532021
3558,MD,2,"(38.8845583, -75.8271564)",38.8845583,-75.8271564
3556,MD,6,"(39.2392725, -76.9866438)",39.2392725,-76.9866438
3553,MD,3,"(39.103441, -77.2908167)",39.103441,-77.2908167
3552,MD,7,"(39.2884381, -77.2038717)",39.2884381,-77.2038717
3551,MD,17,"(39.2257902, -76.5892145)",39.2257902,-76.5892145
3583,MD,1,"(39.4142186, -77.4109269)",39.4142186,-77.4109269
3557,MD,1,"(38.7765055, -76.5552359)",38.7765055,-76.5552359
3566,MD,10,"(39.4187194, -76.2944016)",39.4187194,-76.2944016
3555,MD,5,"(38.9228697, -76.6277374)",38.9228697,-76.6277374
3579,MD,3,"(38.8451131, -76.8749722)",38.8451131,-76.8749722
3580,MD,40,"(38.7125305, -77.0124598)",38.7125305,-77.0124598
3578,MD,2,"(39.5851063, -76.387739)",39.5851063,-76.387739
3577,MD,2,"(38.6940347, -75.7731132)",38.6940347,-75.7731132
3574,MD,916,"(39.2673284, -76.7983067)",39.2673284,-76.7983067
3576,MD,7,"(39.7045417, -77.3269307)",39.7045417,-77.3269307
3572,MD,9,"(39.2673284, -76.7983067)",39.2673284,-76.7983067
3571,MD,1,"(38.9918159, -76.9465862495331)",38.9918159,-76.9465862495
3570,MD,60,"(39.6067789, -75.8332718)",39.6067789,-75.8332718
3569,MD,544,"(39.2128338, -76.7137155)",39.2128338,-76.7137155
3568,MD,6,"(39.4037147, -76.9502567)",39.4037147,-76.9502567
3573,MD,1,"(39.2673284, -76.7983067)",39.2673284,-76.7983067
3567,MD,3,"(38.9471169, -76.931677)",38.9471169,-76.931677
3824,ME,112,"(44.883607, -68.672791)",44.883607,-68.672791
3821,ME,16,"(43.8006354, -70.1867161)",43.8006354,-70.1867161
3822,ME,1,"(43.2489755, -70.5992201)",43.2489755,-70.5992201
3823,ME,2,"(43.517684, -70.377731)",43.517684,-70.377731
3808,ME,8,"(44.1137571, -69.5351337)",44.1137571,-69.5351337
3826,ME,8,"(44.78281, -69.383469)",44.78281,-69.383469
3827,ME,1,"(44.060946, -70.394211)",44.060946,-70.394211
3828,ME,3,"(43.796376, -70.933228)",43.796376,-70.933228
3820,ME,1,"(43.6203572, -70.7353363)",43.6203572,-70.7353363
3829,ME,759,"(43.6610277, -70.2548596)",43.6610277,-70.2548596
3825,ME,1,"(45.9964392, -68.4461425)",45.9964392,-68.4461425
3819,ME,1,"(43.304194, -70.733414)",43.304194,-70.733414
3857,ME,2,"(43.1659436, -70.6350963839679)",43.1659436,-70.635096384
3817,ME,2,"(44.8353424, -69.2739365)",44.8353424,-69.2739365
3816,ME,3,"(43.963168, -70.282974)",43.963168,-70.282974
3815,ME,9,"(45.657728, -68.709869)",45.657728,-68.709869
3814,ME,2,"(46.5036534, -68.3611507)",46.5036534,-68.3611507
3813,ME,1,"(44.7975598, -69.8797794)",44.7975598,-69.8797794
3812,ME,1,"(47.355571, -68.321915)",47.355571,-68.321915
3811,ME,4,"(44.715514, -67.461548)",44.715514,-67.461548
3810,ME,1,"(45.1878373, -68.4677999)",45.1878373,-68.4677999
3809,ME,1,"(44.384238, -70.249329)",44.384238,-70.249329
3830,ME,41,"(46.681479, -68.016357)",46.681479,-68.016357
3818,ME,1,"(44.713074, -69.790649)",44.713074,-69.790649
3831,ME,1,"(43.901851, -70.470428)",43.901851,-70.470428
3847,ME,1,"(44.7092404, -68.3383535)",44.7092404,-68.3383535
3833,ME,6,"(44.1845236, -69.0761491)",44.1845236,-69.0761491
3856,ME,79,"(43.8006354, -70.1867161)",43.8006354,-70.1867161
3807,ME,48,"(44.100351, -70.2147764)",44.100351,-70.2147764
3855,ME,4,"(44.003187, -69.66568)",44.003187,-69.66568
3854,ME,2,"(44.54742, -69.621735)",44.54742,-69.621735
3853,ME,3,"(43.7972997, -70.4272752)",43.7972997,-70.4272752
3852,ME,114,"(43.6770252, -70.3711617)",43.6770252,-70.3711617
3851,ME,3,"(43.8489713, -69.6433791)",43.8489713,-69.6433791
3850,ME,52,"(44.5520105, -69.6317121)",44.5520105,-69.6317121
3849,ME,1,"(46.790188, -68.157806)",46.790188,-68.157806
3848,ME,1,"(44.12062, -69.240646)",44.12062,-69.240646
3846,ME,1,"(44.0481374, -68.8316985)",44.0481374,-68.8316985
3845,ME,3,"(43.9275797, -69.9758839)",43.9275797,-69.9758839
3844,ME,1,"(44.0792805, -69.1805514719101)",44.0792805,-69.1805514719
3843,ME,2,"(44.2798024, -68.3250168)",44.2798024,-68.3250168
3842,ME,67,"(43.6414716, -70.2408811)",43.6414716,-70.2408811
3841,ME,4,"(43.8198026, -70.1094938)",43.8198026,-70.1094938
3840,ME,1,"(43.2345292, -70.8095018)",43.2345292,-70.8095018
3839,ME,27,"(44.765262, -69.719238)",44.765262,-69.719238
3838,ME,12,"(43.59622635, -70.3300556789045)",43.59622635,-70.3300556789
3837,ME,4,"(43.439249, -70.7742246)",43.439249,-70.7742246
3836,ME,1,"(44.4306341, -68.283627)",44.4306341,-68.283627
3834,ME,9,"(43.5009176, -70.4428286)",43.5009176,-70.4428286
3832,ME,1,"(44.104352, -69.108124)",44.104352,-69.108124
3806,ME,2,"(43.3945266, -70.8508932)",43.3945266,-70.8508932
3798,ME,2,"(44.198451, -70.40657)",44.198451,-70.40657
3776,ME,1,"(44.6072991, -67.9258366)",44.6072991,-67.9258366
3775,ME,3,"(44.388164, -68.79982)",44.388164,-68.79982
3774,ME,1,"(45.08055015, -70.2734500434199)",45.08055015,-70.2734500434
3773,ME,62,"(46.8605567, -68.0119677)",46.8605567,-68.0119677
3772,ME,2,"(44.210265, -69.065552)",44.210265,-69.065552
3771,ME,2,"(45.024524, -69.474106)",45.024524,-69.474106
3770,ME,7,"(45.13177, -67.2112854644181)",45.13177,-67.2112854644
3769,ME,3,"(44.5736852, -68.7955879)",44.5736852,-68.7955879
3768,ME,32,"(43.905599, -69.9759914804754)",43.905599,-69.9759914805
3767,ME,2,"(44.796942, -68.760681)",44.796942,-68.760681
3777,ME,1,"(43.7006345, -70.553388)",43.7006345,-70.553388
3766,ME,8,"(44.0472988, -70.0247747)",44.0472988,-70.0247747
3764,ME,1,"(44.404354, -70.791092)",44.404354,-70.791092
3763,ME,6,"(43.910755, -69.820862)",43.910755,-69.820862
3762,ME,195,"(44.3864565, -68.2118570811003)",44.3864565,-68.2118570811
3761,ME,232,"(44.8011821, -68.7778138)",44.8011821,-68.7778138
3760,ME,10,"(45.1570187, -67.4047167)",45.1570187,-67.4047167
3759,ME,73,"(44.310583, -69.779663)",44.310583,-69.779663
3758,ME,2,"(44.075603, -70.308933)",44.075603,-70.308933
3757,ME,8,"(44.0978509, -70.2311655)",44.0978509,-70.2311655
3756,ME,3,"(46.631522, -68.406372)",46.631522,-68.406372
3805,ME,3,"(43.088448, -70.736847)",43.088448,-70.736847
3765,ME,35,"(43.4925843, -70.4533844)",43.4925843,-70.4533844
3778,ME,4,"(43.8506432, -70.4001498)",43.8506432,-70.4001498
3755,ME,1,"(43.6726705, -70.256794)",43.6726705,-70.256794
3780,ME,2,"(44.0328573, -69.5186585)",44.0328573,-69.5186585
3779,ME,1,"(43.7964679, -70.2589388)",43.7964679,-70.2589388
3803,ME,6,"(43.362131, -70.477295)",43.362131,-70.477295
3802,ME,3,"(43.384092, -70.545273)",43.384092,-70.545273
3801,ME,1,"(44.504341, -70.21637)",44.504341,-70.21637
3800,ME,8,"(46.1251286, -67.8407944)",46.1251286,-67.8407944
3799,ME,2,"(44.7528499, -68.6789218)",44.7528499,-68.6789218
3797,ME,4,"(44.286011, -69.791336)",44.286011,-69.791336
3795,ME,12,"(43.6796943, -70.4429342)",43.6796943,-70.4429342
3794,ME,17,"(43.857307, -70.10376)",43.857307,-70.10376
3793,ME,1,"(46.241669, -67.808812)",46.241669,-67.808812
3792,ME,21,"(47.258728, -68.589706)",47.258728,-68.589706
3796,ME,1,"(43.886016, -70.331726)",43.886016,-70.331726
3789,ME,4,"(43.729525, -70.241993)",43.729525,-70.241993
3788,ME,1,"(44.588511, -69.599075)",44.588511,-69.599075
3781,ME,2,"(45.183489, -69.2276)",45.183489,-69.2276
3787,ME,3,"(44.5434831, -68.4201819)",44.5434831,-68.4201819
3786,ME,1,"(43.1531421, -70.8000557)",43.1531421,-70.8000557
3785,ME,1,"(46.6411534, -67.9094691)",46.6411534,-67.9094691
3784,ME,1,"(44.739244, -67.3899904)",44.739244,-67.3899904
3791,ME,7,"(44.671094, -70.151825)",44.671094,-70.151825
3782,ME,10,"(45.183489, -69.2276)",45.183489,-69.2276
4126,MI,3,"(42.48059, -83.4754913)",42.48059,-83.4754913
4127,MI,33,"(42.4594803, -83.1827051)",42.4594803,-83.1827051
4132,MI,11,"(42.5830887, -83.3593798)",42.5830887,-83.3593798
4129,MI,200,"(42.721839, -84.428183)",42.721839,-84.428183
4130,MI,2,"(42.4414273, -84.9241542)",42.4414273,-84.9241542
4131,MI,7,"(42.0061554, -84.1899443)",42.0061554,-84.1899443
4125,MI,10,"(42.48059, -83.4754913)",42.48059,-83.4754913
4128,MI,2,"(40.9204563, -79.8307654204866)",40.9204563,-79.8307654205
4124,MI,3590,"(42.48059, -83.4754913)",42.48059,-83.4754913
4113,MI,1,"(40.7423309, -75.3112095)",40.7423309,-75.3112095
4122,MI,2,"(43.1689044, -86.2639461)",43.1689044,-86.2639461
4121,MI,2,"(42.4310806, -83.4832262)",42.4310806,-83.4832262
4120,MI,3474,"(42.4310806, -83.4832262)",42.4310806,-83.4832262
4118,MI,9,"(41.8297694, -86.2541768)",41.8297694,-86.2541768
4117,MI,33,"(42.511756, -83.6146484)",42.511756,-83.6146484
4116,MI,2,"(43.0936376, -84.1533058)",43.0936376,-84.1533058
4115,MI,1,"(42.1625408, -83.4029885)",42.1625408,-83.4029885
4114,MI,11,"(42.6811436, -82.7368616)",42.6811436,-82.7368616
4133,MI,23,"(43.4419638, -86.1851964)",43.4419638,-86.1851964
4123,MI,8,"(42.44018235, -83.4870677431709)",42.44018235,-83.4870677432
4134,MI,3,"(42.75162455, -83.2733768513096)",42.75162455,-83.2733768513
4136,MI,1,"(42.9390661, -88.4811131855603)",42.9390661,-88.4811131856
4112,MI,1,"(43.201126, -86.238946)",43.201126,-86.238946
4158,MI,1,"(42.8091969, -82.7557554)",42.8091969,-82.7557554
4157,MI,1,"(42.3761504, -85.4550054)",42.3761504,-85.4550054
4155,MI,4,"(43.875017, -85.51005)",43.875017,-85.51005
4154,MI,83,"(42.3833698, -83.2965971)",42.3833698,-83.2965971
4153,MI,1,"(30.7259363, -86.3476308)",30.7259363,-86.3476308
4152,MI,182,"(42.2011538, -85.5800022)",42.2011538,-85.5800022
4151,MI,37,"(42.9815877, -82.440466)",42.9815877,-82.440466
4150,MI,2,"(43.940845, -82.712712)",43.940845,-82.712712
4135,MI,1,"(44.3176019, -83.6856991)",44.3176019,-83.6856991
4149,MI,72,"(42.6389216, -83.2910468)",42.6389216,-83.2910468
4147,MI,1664,"(42.3712, -83.4675021)",42.3712,-83.4675021
4145,MI,1,"(42.471147, -83.1421482)",42.471147,-83.1421482
4144,MI,2,"(42.4400357, -85.6489035)",42.4400357,-85.6489035
4143,MI,2,"(43.830338, -83.270837)",43.830338,-83.270837
4142,MI,5,"(45.373343, -84.95533)",45.373343,-84.95533
4141,MI,18,"(42.2178171, -85.8911246)",42.2178171,-85.8911246
4140,MI,1,"(42.2583711, -84.5996885)",42.2583711,-84.5996885
4139,MI,1,"(42.0158813, -85.5477706)",42.0158813,-85.5477706
4138,MI,22,"(42.8247524, -83.2646624)",42.8247524,-83.2646624
4137,MI,6,"(42.9978049, -84.1766359)",42.9978049,-84.1766359
4148,MI,37,"(42.372648, -83.5144779217702)",42.372648,-83.5144779218
4111,MI,40,"(43.2341813, -86.2483921)",43.2341813,-86.2483921
4086,MI,39,"(42.1503178, -84.0377231)",42.1503178,-84.0377231
4109,MI,21,"(42.45764355, -86.2523081910527)",42.45764355,-86.2523081911
4081,MI,83,"(43.95544, -86.452725)",43.95544,-86.452725
4080,MI,3805,"(42.36837, -83.3527097)",42.36837,-83.3527097
4078,MI,4,"(42.044314, -84.7584316)",42.044314,-84.7584316
4076,MI,21,"(42.2505943, -83.1785361)",42.2505943,-83.1785361
4075,MI,1,"(45.97391, -83.6563878)",45.97391,-83.6563878
4074,MI,1,"(44.8839001, -84.3055687)",44.8839001,-84.3055687
4073,MI,3,"(47.237426, -88.443173)",47.237426,-88.443173
4072,MI,10,"(42.4964242, -83.2227067)",42.4964242,-83.2227067
4071,MI,1,"(42.892895, -83.154493)",42.892895,-83.154493
4070,MI,17,"(43.0904764, -83.2333705)",43.0904764,-83.2333705
4069,MI,346,"(42.7337712, -84.5553805)",42.7337712,-84.5553805
4067,MI,33,"(42.7844752, -83.2396612)",42.7844752,-83.2396612
4066,MI,2,"(44.980832, -85.715085)",44.980832,-85.715085
4065,MI,40,"(42.8694731, -85.6447492)",42.8694731,-85.6447492
4063,MI,302,"(42.6080884, -83.3438248)",42.6080884,-83.3438248
4062,MI,372,"(42.291707, -85.5872286)",42.291707,-85.5872286
4082,MI,5,"(42.6741189, -82.902901)",42.6741189,-82.902901
4083,MI,1,"(42.7008653, -82.9590938)",42.7008653,-82.9590938
4085,MI,376,"(42.4858692, -83.1052028)",42.4858692,-83.1052028
4108,MI,14,"(42.5972563, -82.8779754)",42.5972563,-82.8779754
4107,MI,1,"(42.5972563, -82.8779754)",42.5972563,-82.8779754
4106,MI,179,"(43.597646, -84.7668495)",43.597646,-84.7668495
4105,MI,11,"(42.5972563, -82.8779754)",42.5972563,-82.8779754
4104,MI,1,"(41.7195109, -84.2173964)",41.7195109,-84.2173964
4103,MI,1,"(33.7178954, -88.9478357)",33.7178954,-88.9478357
4102,MI,66,"(41.9145037, -83.3968252)",41.9145037,-83.3968252
4101,MI,3,"(44.652236, -84.129728)",44.652236,-84.129728
4100,MI,2,"(43.281413, -83.529677)",43.281413,-83.529677
4099,MI,4,"(42.5936428, -83.5993856)",42.5936428,-83.5993856
4110,MI,4,"(46.409777, -86.649447)",46.409777,-86.649447
4098,MI,653,"(43.6155825, -84.2472117)",43.6155825,-84.2472117
4096,MI,3,"(42.230231, -84.3174483360927)",42.230231,-84.3174483361
4095,MI,3,"(42.9414173, -83.2891092)",42.9414173,-83.2891092
4094,MI,3,"(42.0064378, -85.4499887)",42.0064378,-85.4499887
4092,MI,78,"(43.9778831, -86.246291)",43.9778831,-86.246291
4091,MI,23,"(42.9125306, -82.48686)",42.9125306,-82.48686
4090,MI,11,"(42.2721367, -84.9642008)",42.2721367,-84.9642008
4089,MI,42,"(46.5434914, -87.396433)",46.5434914,-87.396433
4088,MI,1,"(42.719777, -82.492218)",42.719777,-82.492218
4087,MI,1,"(45.95779, -86.246419)",45.95779,-86.246419
4159,MI,2,"(42.3234741, -83.244195)",42.3234741,-83.244195
4097,MI,1,"(43.1824002, -84.7100750468566)",43.1824002,-84.7100750469
4160,MI,8,"(42.1742073, -83.1793697)",42.1742073,-83.1793697
4184,MI,2,"(43.954728, -86.280079)",43.954728,-86.280079
4162,MI,347,"(42.6583661, -83.1499322)",42.6583661,-83.1499322
4233,MI,97,"(42.21986195, -83.4840229975382)",42.21986195,-83.4840229975
4232,MI,3,"(42.6261446, -83.0335384)",42.6261446,-83.0335384
4231,MI,34,"(42.73778025, -84.5542336110608)",42.73778025,-84.5542336111
4230,MI,29087,"(42.6055893, -83.1499304)",42.6055893,-83.1499304
4229,MI,1,"(44.822611, -84.084865)",44.822611,-84.084865
4228,MI,5,"(42.1406552, -83.1800544)",42.1406552,-83.1800544
4227,MI,55,"(44.7606441, -85.6165301)",44.7606441,-85.6165301
4226,MI,4,"(41.9442722, -85.6346222)",41.9442722,-85.6346222
4225,MI,2,"(41.7793387, -83.5688311)",41.7793387,-83.5688311
4224,MI,6,"(42.0039331, -83.9449417)",42.0039331,-83.9449417
4223,MI,56,"(42.240872, -83.2696509)",42.240872,-83.2696509
4222,MI,2,"(44.269461, -83.514697)",44.269461,-83.514697
4221,MI,8,"(42.6114217, -83.3285467)",42.6114217,-83.3285467
4220,MI,1,"(42.9889383, -83.724333)",42.9889383,-83.724333
4219,MI,3,"(42.3049933, -83.6041183)",42.3049933,-83.6041183
4218,MI,14,"(42.3049933, -83.6041183)",42.3049933,-83.6041183
4216,MI,5,"(29.6196787, -95.6349463)",29.6196787,-95.6349463
4215,MI,8,"(41.799217, -85.4191482)",41.799217,-85.4191482
4214,MI,10,"(42.0144871, -86.5194654)",42.0144871,-86.5194654
4235,MI,58,"(42.21986195, -83.4840229975382)",42.21986195,-83.4840229975
4236,MI,1,"(44.2208134, -88.9717809)",44.2208134,-88.9717809
4237,MI,1,"(44.2208134, -88.9717809)",44.2208134,-88.9717809
4238,MI,23,"(42.5685582, -83.3733531)",42.5685582,-83.3733531
4260,MI,58,"(42.8124349, -86.0288167)",42.8124349,-86.0288167
4259,MI,288,"(42.2410562, -83.613055)",42.2410562,-83.613055
4258,MI,37,"(42.9132581, -85.7057035)",42.9132581,-85.7057035
4257,MI,15,"(42.2006617, -83.1510164)",42.2006617,-83.1510164
4255,MI,2,"(41.3991436, -73.7345996)",41.3991436,-73.7345996
4254,MI,2316,"(42.5247729, -83.5363339)",42.5247729,-83.5363339
4253,MI,3,"(43.5233638, -84.9016854)",43.5233638,-84.9016854
4252,MI,3,"(42.6888478, -84.2827933)",42.6888478,-84.2827933
4251,MI,4,"(42.439479, -83.7438303)",42.439479,-83.7438303
4213,MI,3,"(42.5803122, -83.0302033)",42.5803122,-83.0302033
4250,MI,115,"(42.3238056, -83.4005321)",42.3238056,-83.4005321
4247,MI,6,"(42.5685582, -83.3733531)",42.5685582,-83.3733531
4246,MI,185,"(44.2208134, -88.9717809)",44.2208134,-88.9717809
4245,MI,6,"(42.6668257, -84.174432)",42.6668257,-84.174432
4244,MI,24,"(42.2682408, -83.2844172)",42.2682408,-83.2844172
4243,MI,1,"(42.6745321, -85.6457663)",42.6745321,-85.6457663
4242,MI,6,"(42.1867052, -86.2605776)",42.1867052,-86.2605776
4241,MI,16,"(42.7022527, -83.402718)",42.7022527,-83.402718
4240,MI,299,"(42.4775364, -83.0277001)",42.4775364,-83.0277001
4239,MI,3,"(42.537811, -83.4810481)",42.537811,-83.4810481
4249,MI,8,"(44.276408, -84.238613)",44.276408,-84.238613
4161,MI,512,"(42.680588, -83.1338214)",42.680588,-83.1338214
4212,MI,3,"(42.5803122, -83.0302033)",42.5803122,-83.0302033
4210,MI,470,"(42.5803122, -83.0302033)",42.5803122,-83.0302033
4183,MI,1,"(46.1902943, -86.1833841)",46.1902943,-86.1833841
4182,MI,28,"(46.490586, -84.359269)",46.490586,-84.359269
4181,MI,4,"(46.490586, -84.359269)",46.490586,-84.359269
4180,MI,2,"(43.672805, -84.380554)",43.672805,-84.380554
4179,MI,1,"(43.420299, -82.829657)",43.420299,-82.829657
4178,MI,587,"(42.1667072, -83.7816075)",42.1667072,-83.7816075
4177,MI,13,"(41.9031963, -85.5356726)",41.9031963,-85.5356726
4176,MI,2,"(42.4969805, -82.8888054)",42.4969805,-82.8888054
4175,MI,1,"(42.9426715, -82.6283554)",42.9426715,-82.6283554
4174,MI,325,"(43.4200387, -83.9490365)",43.4200387,-83.9490365
4172,MI,3,"(43.7152941, -82.7402112)",43.7152941,-82.7402112
4171,MI,264,"(42.4894801, -83.1446485)",42.4894801,-83.1446485
4170,MI,7,"(42.4972583, -82.9371409)",42.4972583,-82.9371409
4169,MI,16,"(43.699206, -84.767801)",43.699206,-84.767801
4168,MI,2,"(44.421406, -84.116667)",44.421406,-84.116667
4167,MI,88,"(42.2222614, -83.3965995)",42.2222614,-83.3965995
