,state,year,median,q25,q75,q0,q100,count
190,MT,2013,26478.0,56160.0,40758.5,73299.0,26478.0,297233.0
191,MT,2014,24918.0,51012.0,37752.0,72038.5,24918.0,300646.0
192,MT,2015,23580.0,52072.5,37449.0,70190.0,23580.0,575000.0
193,MT,2016,33030.0,53322.0,40901.25,84828.0,33030.0,187200.0
194,MT,2017,24024.0,68000.0,43888.0,187200.0,24024.0,222955.0
195,NC,2011,15870.0,61984.0,51875.0,71323.0,15870.0,224099.0
196,NC,2012,17014.0,63294.0,55411.0,72717.0,17014.0,231550.0
197,NC,2013,17360.0,67184.0,58240.0,76773.0,17360.0,590913.0
198,NC,2014,16990.0,68113.0,60216.0,76794.0,16990.0,271581.0
199,NC,2015,16827.0,68494.0,61318.0,76211.0,16827.0,250501.0
200,NC,2016,16890.0,69514.0,61942.0,77563.0,16890.0,269734.0
201,NC,2017,16930.0,70034.0,63024.0,78603.0,16930.0,272085.0
202,ND,2011,16952.0,60174.5,42598.0,135782.0,16952.0,294431.0
203,ND,2012,22540.0,58427.0,41850.0,145538.0,22540.0,438941.0
204,ND,2013,22797.0,62920.0,41018.0,167357.0,22797.0,302191.0
205,ND,2014,27893.0,65239.0,40081.0,177647.75,27893.0,523713.0
206,ND,2015,23587.0,55957.0,42890.0,96242.0,23587.0,412463.0
207,ND,2016,29723.0,65495.0,48901.0,172661.0,29723.0,236496.0
208,ND,2017,26537.0,64501.0,47247.5,153275.0,26537.0,280735.0
209,NE,2011,21798.0,57533.0,45302.0,69940.0,21798.0,322200.0
210,NE,2012,16682.0,56930.0,45469.0,74381.0,16682.0,403145.0
211,NE,2013,19650.0,62088.0,48550.0,79269.0,19650.0,489182.0
212,NE,2014,19094.0,63045.0,49587.0,77974.0,19094.0,573825.0
213,NE,2015,17370.0,68162.0,54267.0,85030.0,17370.0,505069.0
214,NE,2016,16950.0,68349.0,54766.0,83465.5,16950.0,210600.0
215,NE,2017,18054.0,69056.0,58698.0,84926.0,18054.0,224757.0
216,NH,2011,17992.0,62234.0,52809.0,76835.0,17992.0,218130.0
217,NH,2012,18554.0,63211.0,55380.25,76918.0,18554.0,207346.0
218,NH,2013,17170.0,64615.0,55650.75,79789.0,17170.0,191506.0
219,NH,2014,27290.0,61277.0,54288.0,72259.0,27290.0,325600.0
220,NH,2015,22333.0,61110.0,52062.0,74630.0,22333.0,240440.0
221,NH,2016,23733.0,66508.0,56570.5,79394.0,23733.0,187200.0
